"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","ERA","FIP","xFIP","WAR","playerid"
"Sean Newcomb","Braves","8","3","0","17","17","95.2","8.66","4.23","0.85",".258","77.8 %","46.5 %","10.2 %","3.10","3.82","4.10","1.4","16943"
"CC Sabathia","Yankees","6","3","0","16","16","89.1","7.15","2.42","1.11",".283","77.2 %","42.9 %","10.9 %","3.02","4.20","4.45","1.3","404"
"Jameson Taillon","Pirates","5","6","0","17","17","93.1","8.39","2.70","1.06",".297","73.9 %","50.9 %","13.1 %","4.05","3.77","3.72","1.3","11674"
"Kevin Gausman","Orioles","4","6","0","17","17","102.1","7.92","2.20","1.50",".311","79.9 %","46.3 %","16.7 %","4.05","4.36","3.83","1.2","14107"
"Luke Weaver","Cardinals","5","7","0","18","18","97.0","8.26","3.15","1.21",".299","67.9 %","40.1 %","12.0 %","4.92","4.13","4.21","1.2","16918"
"Clayton Richard","Padres","7","8","0","18","18","113.0","6.85","3.03","0.88",".283","68.4 %","57.6 %","15.1 %","4.46","4.05","3.84","1.2","3551"
"Dylan Bundy","Orioles","6","8","0","17","17","99.1","9.97","2.72","1.72",".300","75.2 %","34.9 %","15.4 %","4.08","4.38","3.92","1.2","12917"
"Gio Gonzalez","Nationals","6","5","0","18","18","95.2","8.47","4.42","0.85",".311","77.1 %","50.5 %","11.0 %","3.76","3.93","4.11","1.2","7448"
"Brent Suter","Brewers","8","5","0","18","16","93.1","7.52","1.74","1.45",".285","71.3 %","34.3 %","14.4 %","4.53","4.24","3.97","1.2","13942"
"Matt Boyd","Tigers","4","7","0","17","17","92.1","7.70","3.41","1.07",".264","68.8 %","31.2 %","9.1 %","4.58","4.28","4.88","1.2","15440"
"Jake Arrieta","Phillies","5","6","0","16","16","89.0","6.17","2.93","0.91",".278","63.8 %","56.0 %","12.2 %","3.54","4.13","4.18","1.1","4153"
"Reynaldo Lopez","White Sox","4","6","0","18","18","105.0","6.43","4.03","0.94",".267","73.9 %","35.8 %","7.3 %","3.77","4.59","5.56","1.1","16400"
"Jon Lester","Cubs","11","2","0","17","17","100.0","7.11","3.15","0.99",".246","85.1 %","38.2 %","10.1 %","2.25","4.16","4.52","1.1","4930"
"German Marquez","Rockies","7","8","0","18","18","97.0","9.09","3.25","1.48",".311","70.6 %","44.4 %","17.0 %","4.92","4.44","3.88","1.1","15038"
"Marco Estrada","Blue Jays","4","7","0","17","17","89.2","7.03","2.51","1.51",".292","72.2 %","25.7 %","9.9 %","4.72","4.56","5.16","1.1","1118"
"David Price","Red Sox","9","6","0","17","17","96.2","8.57","3.07","1.40",".286","72.8 %","41.0 %","13.2 %","4.28","4.31","4.22","1.1","3184"
"Sean Manaea","Athletics","8","6","0","18","18","113.2","6.18","1.74","1.27",".214","76.9 %","43.1 %","13.4 %","3.33","4.33","4.22","1.1","15873"
"Mike Minor","Rangers","6","4","0","16","16","91.1","7.29","2.17","1.38",".279","69.5 %","35.9 %","11.5 %","4.63","4.40","4.60","1.0","10021"
"James Shields","White Sox","3","9","0","19","18","113.2","6.02","3.56","1.03",".243","68.4 %","37.3 %","8.8 %","4.12","4.53","5.17","1.0","7059"
"Mike Leake","Mariners","8","5","0","18","18","111.2","5.64","2.01","1.21",".284","73.0 %","48.8 %","13.5 %","4.11","4.36","4.24","0.9","10130"
"Lance Lynn","Twins","6","7","0","17","17","86.1","8.86","5.42","0.83",".337","70.0 %","52.0 %","12.5 %","5.21","4.29","4.30","0.9","2520"
"Zack Godley","Diamondbacks","10","6","0","18","18","98.1","9.06","4.67","1.10",".326","70.3 %","51.8 %","15.6 %","4.85","4.42","4.12","0.9","14862"
"Mike Fiers","Tigers","5","5","0","16","16","92.2","6.60","1.94","1.55",".273","79.5 %","38.8 %","12.2 %","3.79","4.70","4.77","0.8","7754"
"Derek Holland","Giants","5","7","0","18","17","92.0","8.80","3.62","1.27",".302","71.7 %","37.0 %","12.5 %","4.40","4.23","4.24","0.8","4141"
"Tyler Mahle","Reds","7","6","0","18","18","98.1","8.88","3.75","1.46",".300","81.5 %","40.2 %","16.7 %","3.66","4.56","4.05","0.7","16358"
"Jake Odorizzi","Twins","3","6","0","18","18","90.2","9.63","4.27","1.49",".307","75.7 %","25.8 %","12.2 %","4.57","4.71","4.78","0.7","6397"
"Tyson Ross","Padres","5","6","0","17","17","100.0","8.10","3.42","1.17",".264","75.8 %","43.8 %","15.3 %","3.78","4.32","4.02","0.7","7872"
"Trevor Williams","Pirates","6","7","0","18","18","94.0","6.51","3.06","1.15",".262","64.9 %","40.9 %","10.9 %","4.60","4.44","4.70","0.7","16977"
"Felix Hernandez","Mariners","8","7","0","19","19","105.1","7.43","3.08","1.28",".295","67.4 %","45.7 %","13.8 %","5.13","4.59","4.43","0.7","4772"
"Jason Hammel","Royals","2","11","0","18","18","102.1","5.80","2.73","1.23",".337","62.0 %","37.3 %","9.5 %","6.16","4.60","5.17","0.6","4538"
"Chris Stratton","Giants","8","6","0","18","18","96.2","6.80","3.35","1.02",".314","66.9 %","40.2 %","11.0 %","4.93","4.26","4.47","0.5","13761"
"Luis Castillo","Reds","5","8","0","18","18","94.1","8.68","3.15","1.72",".298","66.5 %","45.0 %","19.4 %","5.53","4.77","3.91","0.5","15689"
"Tanner Roark","Nationals","3","10","0","18","17","105.2","7.50","3.24","1.28",".281","71.5 %","42.3 %","13.3 %","4.60","4.57","4.47","0.5","8753"
"Daniel Mengden","Athletics","6","6","0","16","16","90.2","5.46","1.89","1.49",".250","66.7 %","39.9 %","13.8 %","4.47","4.74","4.56","0.5","16980"
"Jose Quintana","Cubs","7","6","0","17","17","91.2","8.25","4.22","1.37",".281","76.1 %","43.3 %","15.6 %","4.22","4.70","4.33","0.5","11423"
"Andrew Cashner","Orioles","2","9","0","17","17","94.1","7.06","4.01","1.43",".315","77.2 %","40.4 %","13.9 %","4.39","4.98","4.78","0.5","8782"
"Ian Kennedy","Royals","1","8","0","17","17","91.2","8.25","3.24","1.67",".300","71.8 %","29.6 %","13.9 %","5.11","4.80","4.57","0.5","6986"
"Ivan Nova","Pirates","4","6","0","16","16","92.1","6.92","1.66","1.66",".289","71.7 %","45.9 %","16.3 %","4.48","4.65","4.10","0.4","1994"
"Kyle Hendricks","Cubs","5","8","0","17","17","97.0","6.68","2.78","1.48",".265","74.8 %","46.6 %","17.0 %","4.27","4.79","4.23","0.4","12049"
"Chad Bettis","Rockies","5","1","0","17","17","95.1","6.51","3.59","1.42",".283","71.6 %","49.3 %","16.9 %","5.10","5.03","4.51","0.4","10587"
"Cole Hamels","Rangers","4","7","0","17","17","102.1","9.15","3.25","1.76",".281","79.1 %","43.8 %","20.6 %","4.05","5.00","4.01","0.4","4972"
"Sal Romano","Reds","5","8","0","18","18","95.0","6.92","3.60","1.61",".292","70.2 %","45.7 %","17.7 %","5.40","5.16","4.49","0.2","13690"
"Chase Anderson","Brewers","6","6","0","17","17","94.2","6.94","3.42","1.62",".207","77.7 %","35.2 %","15.0 %","3.99","5.23","4.85","0.2","6895"
"Bartolo Colon","Rangers","5","6","0","18","16","100.2","5.27","1.34","1.97",".255","75.1 %","44.4 %","19.5 %","4.65","5.29","4.28","0.0","375"
"Julio Teheran","Braves","6","6","0","17","17","92.2","8.45","4.37","1.65",".226","76.7 %","38.1 %","16.2 %","4.47","5.20","4.67","0.0","6797"
"Danny Duffy","Royals","4","8","0","18","18","100.2","7.69","4.29","1.70",".288","73.8 %","33.0 %","13.5 %","5.19","5.38","5.22","-0.2","3542"
"Jakob Junis","Royals","5","10","0","17","17","101.2","8.14","2.48","2.12",".274","76.1 %","39.5 %","18.2 %","5.13","5.46","4.52","-0.3","13619"
"Lucas Giolito","White Sox","5","7","0","17","17","89.2","5.42","5.42","1.61",".268","63.4 %","38.4 %","12.4 %","6.93","6.37","6.40","-0.8","15474"
