"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Sean Newcomb","Braves","8.66","4.23","2.04","0.85","23.4 %","11.4 %","11.9 %",".209","1.23",".258","77.8 %","77","96","101","3.10","3.82","-0.72","4.10","4.36","16943"
"Vince Velasquez","Phillies","10.90","3.46","3.15","1.32","28.5 %","9.1 %","19.5 %",".236","1.29",".306","67.5 %","116","92","91","4.69","3.82","0.86","3.67","3.56","11189"
"Jhoulys Chacin","Brewers","7.18","3.81","1.89","0.61","18.9 %","10.0 %","8.9 %",".231","1.29",".277","73.0 %","88","92","115","3.63","3.83","-0.20","4.64","4.76","2608"
"Jose Berrios","Twins","8.97","2.05","4.38","1.34","25.0 %","5.7 %","19.3 %",".208","1.00",".243","78.2 %","84","94","90","3.54","3.92","-0.37","3.73","3.57","14168"
"Gio Gonzalez","Nationals","8.47","4.42","1.91","0.85","21.5 %","11.2 %","10.3 %",".253","1.47",".311","77.1 %","92","98","102","3.76","3.93","-0.16","4.11","4.44","7448"
"Kyle Gibson","Twins","8.58","3.75","2.29","0.98","22.6 %","9.9 %","12.7 %",".230","1.28",".279","77.2 %","84","95","95","3.58","3.96","-0.39","3.93","4.18","10123"
"Michael Fulmer","Tigers","7.62","2.96","2.58","0.99","20.3 %","7.9 %","12.4 %",".249","1.28",".295","70.6 %","100","95","98","4.22","3.98","0.24","4.07","4.22","13218"
"Kyle Freeland","Rockies","7.18","2.82","2.55","1.03","19.5 %","7.7 %","11.9 %",".230","1.18",".264","80.6 %","70","93","101","3.25","3.99","-0.75","4.10","4.26","16256"
"Clayton Richard","Padres","6.85","3.03","2.26","0.88","18.1 %","8.0 %","10.1 %",".245","1.27",".283","68.4 %","116","102","95","4.46","4.05","0.41","3.84","4.07","3551"
"Luke Weaver","Cardinals","8.26","3.15","2.62","1.21","21.2 %","8.1 %","13.1 %",".253","1.35",".299","67.9 %","125","103","104","4.92","4.13","0.79","4.21","4.25","16918"
"Jake Arrieta","Phillies","6.17","2.93","2.10","0.91","16.4 %","7.8 %","8.6 %",".247","1.27",".278","63.8 %","88","99","103","3.54","4.13","-0.59","4.18","4.37","4153"
"Jon Lester","Cubs","7.11","3.15","2.26","0.99","19.3 %","8.5 %","10.7 %",".216","1.15",".246","85.1 %","55","103","112","2.25","4.16","-1.91","4.52","4.56","4930"
"CC Sabathia","Yankees","7.15","2.42","2.96","1.11","18.5 %","6.3 %","12.3 %",".248","1.24",".283","77.2 %","72","98","107","3.02","4.20","-1.17","4.45","4.32","404"
"Tyler Anderson","Rockies","8.32","2.92","2.85","1.33","22.4 %","7.9 %","14.6 %",".237","1.22",".276","75.2 %","83","98","102","3.90","4.21","-0.32","4.13","4.12","12880"
"Derek Holland","Giants","8.80","3.62","2.43","1.27","22.9 %","9.4 %","13.5 %",".251","1.37",".302","71.7 %","114","110","105","4.40","4.23","0.17","4.24","4.23","4141"
"Brent Suter","Brewers","7.52","1.74","4.33","1.45","20.1 %","4.6 %","15.4 %",".253","1.19",".285","71.3 %","110","102","98","4.53","4.24","0.30","3.97","4.02","13942"
"Chris Stratton","Giants","6.80","3.35","2.03","1.02","17.6 %","8.7 %","8.9 %",".273","1.44",".314","66.9 %","128","111","111","4.93","4.26","0.68","4.47","4.72","13761"
"Matt Boyd","Tigers","7.70","3.41","2.26","1.07","20.3 %","9.0 %","11.3 %",".227","1.23",".264","68.8 %","109","102","118","4.58","4.28","0.30","4.88","4.61","15440"
"Lance Lynn","Twins","8.86","5.42","1.63","0.83","21.5 %","13.2 %","8.4 %",".268","1.66",".337","70.0 %","123","103","104","5.21","4.29","0.92","4.30","4.65","2520"
"David Price","Red Sox","8.57","3.07","2.79","1.40","22.9 %","8.2 %","14.7 %",".243","1.26",".286","72.8 %","100","106","102","4.28","4.31","-0.03","4.22","4.08","3184"
"Tyson Ross","Padres","8.10","3.42","2.37","1.17","21.4 %","9.1 %","12.4 %",".226","1.23",".264","75.8 %","98","109","99","3.78","4.32","-0.54","4.02","4.24","7872"
"Sean Manaea","Athletics","6.18","1.74","3.55","1.27","17.1 %","4.8 %","12.3 %",".204","0.96",".214","76.9 %","82","106","102","3.33","4.33","-1.01","4.22","4.31","15873"
"Mike Leake","Mariners","5.64","2.01","2.80","1.21","15.1 %","5.4 %","9.7 %",".263","1.25",".284","73.0 %","103","107","102","4.11","4.36","-0.24","4.24","4.44","10130"
"Kevin Gausman","Orioles","7.92","2.20","3.60","1.50","20.7 %","5.8 %","14.9 %",".271","1.32",".311","79.9 %","97","102","93","4.05","4.36","-0.32","3.83","3.92","14107"
"Dylan Bundy","Orioles","9.97","2.72","3.67","1.72","26.3 %","7.2 %","19.1 %",".249","1.27",".300","75.2 %","97","102","95","4.08","4.38","-0.30","3.92","3.64","12917"
